dataset,percent-heldout,seed,transfer,raw,target_only
log_REP_CTD2,60,8,0.7652418050718598,0.4992755184712982,0.7458294088192832
log_REP_CTD2,60,9,0.7721323438624228,0.5002468300605023,0.7543100608868498
log_REP_CTD2,80,0,0.7187184647289125,0.5030358944125293,0.6786909787225
log_REP_CTD2,80,1,0.7366263417948549,0.5024289417589356,0.6757969488733286
log_REP_CTD2,80,2,0.7319090220619604,0.5021411615066896,0.6763052041452264
log_REP_CTD2,80,3,0.7192725823870826,0.5065273621091922,0.6405102068732721
log_REP_CTD2,80,4,0.7124263251803703,0.5015217057704643,0.6871100545151092
log_REP_CTD2,80,5,0.7315229257565276,0.5021109825628125,0.6752700079872306
log_REP_CTD2,80,6,0.7250564221682645,0.5026549296260192,0.6494885748809391
log_REP_CTD2,80,7,0.7407176733462283,0.5051550890161216,0.6875246756259895
log_REP_CTD2,80,8,0.7267106804594575,0.49891956416227495,0.6654612384507815
log_REP_CTD2,80,9,0.734776060825979,0.5017260829124698,0.6775043464653886
log_GDSC_CTD2,20,0,0.8179037787334736,0.5038569618549337,0.8254484756054018
log_GDSC_CTD2,20,1,0.7966919863815396,0.49869061564847,0.7853755101560458
log_GDSC_CTD2,20,2,0.799345204892471,0.49572057714120166,0.7877261846574808
log_GDSC_CTD2,20,3,0.786396050572347,0.5085807573504292,0.7721175749040268
log_GDSC_CTD2,20,4,0.8017027346093778,0.49226009206677435,0.7966098396871673
log_GDSC_CTD2,20,5,0.80236793342742,0.4814383587323115,0.8043497026627734
log_GDSC_CTD2,20,6,0.8176993792675498,0.4883732995762301,0.8220719022815391
log_GDSC_CTD2,20,7,0.8057169456929986,0.4554615665748451,0.810276407472681
log_GDSC_CTD2,20,8,0.8114143649060077,0.4863488777958407,0.8216058818600107
log_GDSC_CTD2,20,9,0.801095403139537,0.49983872725725637,0.8187361818524913
log_GDSC_CTD2,40,0,0.8000713941415741,0.49025032647571504,0.7826681271924851
log_GDSC_CTD2,40,1,0.7987705344593592,0.4916418401278313,0.7771291992322128
log_GDSC_CTD2,40,2,0.7911113614095006,0.4895422205548715,0.7823671721978639
log_GDSC_CTD2,40,3,0.777161306528696,0.5012249991900185,0.7565669316192778
log_GDSC_CTD2,40,4,0.7888333057510439,0.49857452138521363,0.7693139511172621
log_GDSC_CTD2,40,5,0.790355314526221,0.48427825713328976,0.7734794077894935
