,Sample,Control,Drug,MID,start,start_vol,end,end_vol,duration,log_V_V0,log_V_V0_sm,log_V_V0_cen
15,HCI-024,1,Vehicle,15,1.0,292.7825,22.0,291.6478125,21.0,-0.00560207111478244,0.3899491786837139,-0.3955512497984964
16,HCI-024,1,Vehicle,16,1.0,138.915,22.0,152.7694055,21.0,0.13715326019515922,0.3899491786837139,-0.2527959184885547
17,HCI-024,1,Vehicle,17,1.0,246.5195,22.0,405.948103,21.0,0.7195935328573904,0.3899491786837139,0.32964435417367643
18,HCI-015,0,Navitoclax,18,1.0,199.1195,22.0,566.65268,21.0,1.508830218231877,1.0542001208553373,0.4546300973765396
19,HCI-015,0,Navitoclax,19,1.0,131.072,22.0,242.709578,21.0,0.888871516837877,1.0542001208553373,-0.1653286040174603
20,HCI-015,0,Navitoclax,20,1.0,141.312,22.0,240.1245,21.0,0.7648986274962583,1.0542001208553373,-0.28930149335907906
21,HCI-015,1,Vehicle,21,1.0,138.915,22.0,389.207,21.0,1.4863352681302306,1.0461421582590482,0.44019310987118243
22,HCI-015,1,Vehicle,22,1.0,178.85,22.0,433.2,21.0,1.276283124613102,1.0461421582590482,0.23014096635405368
23,HCI-015,1,Vehicle,23,1.0,121.086,22.0,343.901538,21.0,1.505963498077896,1.0461421582590482,0.45982133981884776
24,HCI-015,1,Vehicle,24,1.0,130.235,22.0,106.1705,21.0,-0.2947342557841703,1.0461421582590482,-1.3408764140432186
25,HCI-015,1,Vehicle,25,1.0,124.6535,22.0,313.227576,21.0,1.3292878393849994,1.0461421582590482,0.2831456811259512
26,HCI-015,1,Vehicle,26,1.0,291.9645,22.0,573.3874935,21.0,0.973717475132232,1.0461421582590482,-0.07242468312681627
27,HCI-027,0,Navitoclax,27,1.0,152.1,22.0,562.306369,21.0,1.886336234688934,1.8145932110124574,0.07174302367647667
28,HCI-027,0,Navitoclax,28,1.0,157.115,22.0,862.9832715,21.0,2.4575116703282665,1.8145932110124574,0.642918459315809
29,HCI-027,0,Navitoclax,29,1.0,219.04,22.0,469.5003,21.0,1.0999317280201713,1.8145932110124574,-0.7146614829922862
30,HCI-027,1,Vehicle,30,1.0,128.9925,22.0,864.799515,21.0,2.74507852838385,2.029972835085016,0.7151056932988338
31,HCI-027,1,Vehicle,31,1.0,169.0155,22.0,561.152304,21.0,1.7312368314688025,2.029972835085016,-0.29873600361621366
32,HCI-027,1,Vehicle,32,1.0,164.775,22.0,814.4955,21.0,2.305409357555595,2.029972835085016,0.2754365224705788
33,HCI-027,1,Vehicle,33,1.0,222.37599999999998,22.0,808.3512,21.0,1.8619811359906513,2.029972835085016,-0.16799169909436484
34,HCI-027,1,Vehicle,34,1.0,106.1705,22.0,336.093552,21.0,1.6624799027632569,2.029972835085016,-0.3674929323217593
35,HCI-027,1,Vehicle,35,1.0,256.0,22.0,938.1346875,21.0,1.8736512543479413,2.029972835085016,-0.1563215807370748
36,HCI-002,0,Navitoclax,36,1.0,267.385952,22.0,928.08,21.0,1.79532549955893,1.5737129124408173,0.2216125871181127
37,HCI-002,0,Navitoclax,37,1.0,180.002988,22.0,687.587868,21.0,1.9335232346164644,1.5737129124408173,0.359810322175647
38,HCI-002,0,Navitoclax,38,1.0,107.595104,22.0,214.04326400000002,21.0,0.9922900031470574,1.5737129124408173,-0.58142290929376
39,HCI-002,1,Vehicle,39,1.0,127.977608,33.0,2884.0,32.0,4.494107852782604,3.3647414248876806,1.1293664278949236
40,HCI-002,1,Vehicle,40,1.0,242.07348650000003,33.0,2780.0,32.0,3.521567903413118,3.3647414248876806,0.15682647852543763
41,HCI-002,1,Vehicle,41,1.0,180.50552,33.0,2145.0,32.0,3.570862786082248,3.3647414248876806,0.2061213611945676
42,HCI-002,1,Vehicle,42,1.0,150.504858,33.0,1600.0,32.0,3.410189944912728,3.3647414248876806,0.0454485200250474
