Study,Group,Drug,Control,MID,V0,V,duration,V/V0,V/V0_sm,V/V0_cen,C0,V/C0,V/C0_sm,V/C0_cen,lg_V/C0,lg_V/C0_sm,lg_V/C0_cen,log_V/V0,log_V/V0_sm,log_V/V0_cen
TM00202,Grp1- IV D5W,D5W,1.0,796-24,86.9,902.76,28.0,10.388492520138088,6.817604932394678,3.5708875877434103,111.88857142857144,8.068384361992798,6.8799060289573815,1.188478333035417,2.0879532592636965,1.7585706201223184,0.3293826391413781,3.376914414046807,2.6944022760969952,0.6825121379498116
TM00202,Grp1- IV D5W,D5W,1.0,796-25,67.47,285.27,28.0,4.228101378390395,6.817604932394678,-2.589503554004283,111.88857142857144,2.549590153469012,6.8799060289573815,-4.3303158754883695,0.9359326221230285,1.7585706201223184,-0.8226379979992898,2.080009969045011,2.6944022760969952,-0.6143923070519843
TM00202,Grp1- IV D5W,D5W,1.0,796-36,124.13,845.07,28.0,6.8079432852654485,6.817604932394678,-0.009661647129229678,111.88857142857144,7.552782104644927,6.8799060289573815,0.6728760756875456,2.0219159860663636,1.7585706201223184,0.26334536594404523,2.7672190184564407,2.6944022760969952,0.07281674235944546
TM00202,Grp1- IV D5W,D5W,1.0,796-38,77.64,574.59,28.0,7.400695517774343,6.817604932394678,0.5830905853796651,111.88857142857144,5.135377033272899,6.8799060289573815,-1.7445289956844823,1.6361532648862456,1.7585706201223184,-0.12241735523607278,2.887660861672896,2.6944022760969952,0.1932585855759008
TM00202,Grp1- IV D5W,D5W,1.0,796-6,77.95,634.92,28.0,8.145221295702372,6.817604932394678,1.327616363307694,111.88857142857144,5.674574193713132,6.8799060289573815,-1.205331835244249,1.7359955286076068,1.7585706201223184,-0.022575091514711598,3.0259538955433483,2.6944022760969952,0.33155161944635303
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-11,186.05,104.05,28.0,0.5592582639075517,0.7168280155513383,-0.15756975164378662,111.88857142857144,0.9299430555910215,0.7094430683588263,0.22049998723219522,-0.0726319252567906,-0.4247055035555493,0.35207357829875874,-0.8384134253904378,-0.7559973670580453,-0.08241605833239252
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-2,92.37,80.29,28.0,0.8692216087474288,0.7168280155513383,0.15239359319609047,111.88857142857144,0.717588927759761,0.7094430683588263,0.008145859400934707,-0.3318583978998412,-0.4247055035555493,0.09284710565570814,-0.20220405469254432,-0.7559973670580453,0.553793312365501
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-27,88.9,48.47,28.0,0.5452193475815522,0.7168280155513383,-0.17160866796978613,111.88857142857144,0.43319884579045476,0.7094430683588263,-0.27624422256837156,-0.8365584282391493,-0.4247055035555493,-0.41185292468359996,-0.8750913365507325,-0.7559973670580453,-0.11909396949268714
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-30,88.39,40.73,28.0,0.4607987328883357,0.7168280155513383,-0.2560292826630026,111.88857142857144,0.3640228799060289,0.7094430683588263,-0.3454201884527974,-1.010538556436113,-0.4247055035555493,-0.5858330528805635,-1.1177913452473882,-0.7559973670580453,-0.3617939781893429
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-33,75.7,145.0,28.0,1.915455746367239,0.7168280155513383,1.1986277308159008,111.88857142857144,1.295932177421414,0.7094430683588263,0.5864891090625878,0.2592302643241405,-0.4247055035555493,0.6839357678796898,0.9376876949165651,-0.7559973670580453,1.6936850619746104
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-34,233.56,66.56,28.0,0.2849803048467203,0.7168280155513383,-0.431847710704618,111.88857142857144,0.5948775567528919,0.7094430683588263,-0.11456551160593442,-0.5193996815834807,-0.4247055035555493,-0.0946941780279314,-1.81106587765139,-0.7559973670580453,-1.0550685105933446
TM00202,Grp2- IV Docetaxel,Docetaxel,0.0,796-4,184.27,70.55,28.0,0.3828621045205405,0.7168280155513383,-0.33396591103079787,111.88857142857144,0.6305380352902121,0.7094430683588263,-0.07890503306861418,-0.461181799797611,-0.4247055035555493,-0.03647629624206167,-1.3851032247903894,-0.7559973670580453,-0.6291058577323441
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-05,92.41,293.66,29.0,3.177794610972839,2.4062558244288175,0.7715387865440215,129.77374999999998,2.26286132596153,2.3092015912308925,-0.046340265269362746,0.8166300859233683,0.8084980022505283,0.008132083672840018,1.6680258826139052,1.2440642348186988,0.4239616477952064
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-11,139.81,264.6,29.0,1.8925684858021603,2.4062558244288175,-0.5136873386266572,129.77374999999998,2.0389331432589417,2.3092015912308925,-0.2702684479719508,0.7124267020694321,0.8084980022505283,-0.09607130018109611,0.9203455075237831,1.2440642348186988,-0.3237187272949157
