Study,Group,Drug,Control,MID,Day,Size
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,11.0,620.7
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,14.0,673.26
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,18.0,648.66
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,21.0,896.28
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_37,25.0,1131.67
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,-1.0,155.58
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,4.0,252.96
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,7.0,330.22
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,11.0,350.14
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,14.0,395.51
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,18.0,425.57
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,21.0,391.89
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_47,25.0,519.25
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,-1.0,186.96
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,4.0,468.53
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,7.0,360.71
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,11.0,404.42
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,14.0,286.69
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,18.0,295.25
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,21.0,402.42
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_49,25.0,589.56
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,-1.0,256.26
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,4.0,416.75
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,7.0,443.74
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,11.0,457.1
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,14.0,366.84
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,18.0,429.71
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,21.0,547.13
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_62,25.0,865.76
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,-1.0,112.75
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,4.0,293.56
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,7.0,376.99
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,11.0,538.87
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,14.0,412.56
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,18.0,296.94
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,21.0,435.31
TM00096,Group 3 Cisplatin,Cisplatin,0.0,851_66,25.0,460.86
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,1.0,139.75
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,6.0,343.01
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,9.0,216.8
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,13.0,481.72
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,16.0,640.15
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,20.0,769.66
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,23.0,481.09
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-07,27.0,835.01
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,1.0,218.43
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,6.0,893.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,9.0,1291.32
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,13.0,1497.45
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,16.0,1933.1
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,20.0,2047.38
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,23.0,2189.32
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-26,27.0,3081.38
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,1.0,171.71
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,2.0,290.88
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,6.0,329.64
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,9.0,352.73
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,13.0,286.02
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,16.0,176.07
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,20.0,263.11
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,23.0,348.28
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-29,27.0,379.15
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,1.0,160.13
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,6.0,269.76
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,9.0,486.3
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,13.0,979.62
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,16.0,1017.56
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,20.0,1374.25
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,23.0,961.02
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-32,27.0,1710.76
