MID,Sample,Drug,Day,Volume,excel_sheet
27,HCI-023,Vehicle,17.0,370.445886,6f top left
27,HCI-023,Vehicle,21.0,357.499688,6f top left
28,HCI-023,Vehicle,1.0,343.748438,6f top left
28,HCI-023,Vehicle,3.0,431.5205,6f top left
28,HCI-023,Vehicle,7.0,446.261794,6f top left
28,HCI-023,Vehicle,10.0,524.102922,6f top left
28,HCI-023,Vehicle,14.0,515.234039,6f top left
28,HCI-023,Vehicle,17.0,496.01322,6f top left
28,HCI-023,Vehicle,21.0,586.824588,6f top left
29,HCI-023,Vehicle,1.0,192.9886145,6f top left
29,HCI-023,Vehicle,3.0,190.21293,6f top left
29,HCI-023,Vehicle,7.0,198.180576,6f top left
29,HCI-023,Vehicle,10.0,220.6224375,6f top left
29,HCI-023,Vehicle,14.0,224.2520595,6f top left
29,HCI-023,Vehicle,17.0,248.2732995,6f top left
29,HCI-023,Vehicle,21.0,272.1681885,6f top left
30,HCI-015,Docetaxel,1.0,199.584,6f top right
30,HCI-015,Docetaxel,4.0,212.310854,6f top right
30,HCI-015,Docetaxel,8.0,160.196778,6f top right
30,HCI-015,Docetaxel,11.0,152.576,6f top right
30,HCI-015,Docetaxel,15.0,126.880038,6f top right
30,HCI-015,Docetaxel,18.0,120.0864375,6f top right
30,HCI-015,Docetaxel,22.0,100.5723,6f top right
31,HCI-015,Docetaxel,1.0,105.5925,6f top right
31,HCI-015,Docetaxel,4.0,79.8946055,6f top right
31,HCI-015,Docetaxel,8.0,148.014742,6f top right
31,HCI-015,Docetaxel,11.0,111.6,6f top right
31,HCI-015,Docetaxel,15.0,97.215268,6f top right
31,HCI-015,Docetaxel,18.0,64.8044875,6f top right
31,HCI-015,Docetaxel,22.0,49.800672,6f top right
32,HCI-015,Docetaxel,1.0,107.648,6f top right
32,HCI-015,Docetaxel,4.0,64.135018,6f top right
32,HCI-015,Docetaxel,8.0,79.4628915,6f top right
32,HCI-015,Docetaxel,11.0,46.994448,6f top right
32,HCI-015,Docetaxel,15.0,62.242048,6f top right
32,HCI-015,Docetaxel,18.0,64.605042,6f top right
32,HCI-015,Docetaxel,22.0,70.09705,6f top right
33,HCI-015,Vehicle,1.0,138.915,6f top right
33,HCI-015,Vehicle,4.0,145.330504,6f top right
33,HCI-015,Vehicle,8.0,182.6566875,6f top right
33,HCI-015,Vehicle,11.0,203.187798,6f top right
33,HCI-015,Vehicle,15.0,306.9543645,6f top right
33,HCI-015,Vehicle,18.0,338.6242485,6f top right
33,HCI-015,Vehicle,22.0,389.207,6f top right
34,HCI-015,Vehicle,1.0,178.85,6f top right
34,HCI-015,Vehicle,4.0,172.1692665,6f top right
34,HCI-015,Vehicle,8.0,261.140824,6f top right
34,HCI-015,Vehicle,11.0,322.8452955,6f top right
34,HCI-015,Vehicle,15.0,356.979056,6f top right
34,HCI-015,Vehicle,18.0,326.810204,6f top right
34,HCI-015,Vehicle,22.0,433.2,6f top right
35,HCI-015,Vehicle,1.0,121.086,6f top right
35,HCI-015,Vehicle,4.0,147.9168115,6f top right
35,HCI-015,Vehicle,8.0,230.538924,6f top right
35,HCI-015,Vehicle,11.0,249.67965,6f top right
35,HCI-015,Vehicle,15.0,355.743,6f top right
35,HCI-015,Vehicle,18.0,294.208936,6f top right
35,HCI-015,Vehicle,22.0,343.901538,6f top right
36,HCI-015,Vehicle,1.0,130.235,6f top right
36,HCI-015,Vehicle,4.0,101.71303,6f top right
36,HCI-015,Vehicle,8.0,133.490286,6f top right
36,HCI-015,Vehicle,11.0,123.037704,6f top right
36,HCI-015,Vehicle,15.0,106.6600685,6f top right
36,HCI-015,Vehicle,18.0,135.502848,6f top right
36,HCI-015,Vehicle,22.0,106.1705,6f top right
37,HCI-015,Vehicle,1.0,124.6535,6f top right
37,HCI-015,Vehicle,4.0,147.39008,6f top right
37,HCI-015,Vehicle,8.0,198.82044,6f top right
37,HCI-015,Vehicle,11.0,211.606956,6f top right
37,HCI-015,Vehicle,15.0,224.1088,6f top right
37,HCI-015,Vehicle,18.0,298.969344,6f top right
37,HCI-015,Vehicle,22.0,313.227576,6f top right
38,HCI-015,Vehicle,1.0,291.9645,6f top right
38,HCI-015,Vehicle,4.0,247.3814115,6f top right
38,HCI-015,Vehicle,8.0,367.566903,6f top right
38,HCI-015,Vehicle,11.0,486.2446875,6f top right
38,HCI-015,Vehicle,15.0,536.3262,6f top right
38,HCI-015,Vehicle,18.0,535.690116,6f top right
38,HCI-015,Vehicle,22.0,573.3874935,6f top right
39,HCI-019,Docetaxel,1.0,123.008,6f middle left 
39,HCI-019,Docetaxel,4.0,164.152,6f middle left 
39,HCI-019,Docetaxel,8.0,122.4,6f middle left 
39,HCI-019,Docetaxel,11.0,145.926,6f middle left 
39,HCI-019,Docetaxel,15.0,70.227,6f middle left 
39,HCI-019,Docetaxel,18.0,47.1495,6f middle left 
39,HCI-019,Docetaxel,22.0,4.0,6f middle left 
40,HCI-019,Docetaxel,1.0,202.612,6f middle left 
40,HCI-019,Docetaxel,4.0,142.884,6f middle left 
40,HCI-019,Docetaxel,8.0,205.35,6f middle left 
40,HCI-019,Docetaxel,11.0,194.4,6f middle left 
40,HCI-019,Docetaxel,15.0,145.408,6f middle left 
40,HCI-019,Docetaxel,18.0,99.238,6f middle left 
40,HCI-019,Docetaxel,22.0,94.08,6f middle left 
41,HCI-019,Docetaxel,1.0,181.3,6f middle left 
41,HCI-019,Docetaxel,4.0,180.918,6f middle left 
41,HCI-019,Docetaxel,8.0,222.376,6f middle left 
41,HCI-019,Docetaxel,11.0,234.1955,6f middle left 
41,HCI-019,Docetaxel,15.0,225.0,6f middle left 
41,HCI-019,Docetaxel,18.0,132.9615,6f middle left 
41,HCI-019,Docetaxel,22.0,128.9925,6f middle left 
42,HCI-019,Vehicle,1.0,169.884,6f middle left 
42,HCI-019,Vehicle,4.0,136.462,6f middle left 
42,HCI-019,Vehicle,8.0,199.1195,6f middle left 
42,HCI-019,Vehicle,11.0,152.1,6f middle left 
42,HCI-019,Vehicle,15.0,166.698,6f middle left 
42,HCI-019,Vehicle,18.0,168.3375,6f middle left 
42,HCI-019,Vehicle,22.0,205.8,6f middle left 
43,HCI-019,Vehicle,1.0,205.35,6f middle left 
43,HCI-019,Vehicle,4.0,166.464,6f middle left 
43,HCI-019,Vehicle,8.0,255.881,6f middle left 
43,HCI-019,Vehicle,11.0,216.302,6f middle left 
43,HCI-019,Vehicle,15.0,257.9115,6f middle left 
43,HCI-019,Vehicle,18.0,288.684,6f middle left 
43,HCI-019,Vehicle,22.0,334.1165,6f middle left 
44,HCI-019,Vehicle,1.0,84.7,6f middle left 
44,HCI-019,Vehicle,4.0,113.4,6f middle left 
44,HCI-019,Vehicle,8.0,89.376,6f middle left 
44,HCI-019,Vehicle,11.0,114.873,6f middle left 
44,HCI-019,Vehicle,15.0,75.712,6f middle left 
44,HCI-019,Vehicle,18.0,132.618,6f middle left 
44,HCI-019,Vehicle,22.0,125.0235,6f middle left 
45,HCI-019,Vehicle,1.0,176.157,6f middle left 
45,HCI-019,Vehicle,4.0,159.528,6f middle left 
45,HCI-019,Vehicle,8.0,189.0375,6f middle left 
45,HCI-019,Vehicle,11.0,255.528,6f middle left 
45,HCI-019,Vehicle,15.0,278.8425,6f middle left 
45,HCI-019,Vehicle,18.0,299.88,6f middle left 
45,HCI-019,Vehicle,22.0,333.036,6f middle left 
46,HCI-019,Vehicle,1.0,74.36,6f middle left 
46,HCI-019,Vehicle,4.0,90.75,6f middle left 
46,HCI-019,Vehicle,8.0,85.6745,6f middle left 
46,HCI-019,Vehicle,11.0,90.944,6f middle left 
46,HCI-019,Vehicle,15.0,141.5375,6f middle left 
46,HCI-019,Vehicle,18.0,121.086,6f middle left 
46,HCI-019,Vehicle,22.0,168.776,6f middle left 
47,HCI-019,Vehicle,1.0,89.2375,6f middle left 
47,HCI-019,Vehicle,4.0,104.284,6f middle left 
47,HCI-019,Vehicle,8.0,132.9615,6f middle left 
47,HCI-019,Vehicle,11.0,119.164,6f middle left 
47,HCI-019,Vehicle,15.0,120.0945,6f middle left 
47,HCI-019,Vehicle,18.0,216.5625,6f middle left 
47,HCI-019,Vehicle,22.0,194.5085,6f middle left 
48,HCI-016,Docetaxel,1.0,216.302,6f middle mid left
48,HCI-016,Docetaxel,5.0,153.6,6f middle mid left
48,HCI-016,Docetaxel,8.0,142.228,6f middle mid left
48,HCI-016,Docetaxel,12.0,62.208,6f middle mid left
48,HCI-016,Docetaxel,15.0,32.0,6f middle mid left
48,HCI-016,Docetaxel,19.0,13.5,6f middle mid left
48,HCI-016,Docetaxel,22.0,0.0,6f middle mid left
49,HCI-016,Docetaxel,1.0,313.4495,6f middle mid left
49,HCI-016,Docetaxel,5.0,340.605,6f middle mid left
49,HCI-016,Docetaxel,8.0,329.122,6f middle mid left
49,HCI-016,Docetaxel,12.0,171.396,6f middle mid left
49,HCI-016,Docetaxel,15.0,141.312,6f middle mid left
49,HCI-016,Docetaxel,19.0,78.03,6f middle mid left
49,HCI-016,Docetaxel,22.0,41.454,6f middle mid left
50,HCI-016,Docetaxel,1.0,65.0,6f middle mid left
50,HCI-016,Docetaxel,5.0,42.336,6f middle mid left
50,HCI-016,Docetaxel,8.0,32.0,6f middle mid left
50,HCI-016,Docetaxel,12.0,32.0,6f middle mid left
50,HCI-016,Docetaxel,15.0,0.5,6f middle mid left
50,HCI-016,Docetaxel,19.0,0.0,6f middle mid left
50,HCI-016,Docetaxel,22.0,0.0,6f middle mid left
51,HCI-016,Vehicle,1.0,65.0,6f middle mid left
51,HCI-016,Vehicle,5.0,67.5,6f middle mid left
51,HCI-016,Vehicle,8.0,114.376,6f middle mid left
51,HCI-016,Vehicle,12.0,99.825,6f middle mid left
51,HCI-016,Vehicle,15.0,120.0945,6f middle mid left
51,HCI-016,Vehicle,19.0,136.9305,6f middle mid left
51,HCI-016,Vehicle,22.0,136.9305,6f middle mid left
52,HCI-016,Vehicle,1.0,111.392,6f middle mid left
52,HCI-016,Vehicle,5.0,139.264,6f middle mid left
52,HCI-016,Vehicle,8.0,175.712,6f middle mid left
52,HCI-016,Vehicle,12.0,249.64,6f middle mid left
52,HCI-016,Vehicle,15.0,306.5605,6f middle mid left
52,HCI-016,Vehicle,19.0,332.82,6f middle mid left
52,HCI-016,Vehicle,22.0,433.2,6f middle mid left
53,HCI-016,Vehicle,1.0,262.122,6f middle mid left
53,HCI-016,Vehicle,5.0,329.476,6f middle mid left
53,HCI-016,Vehicle,8.0,394.944,6f middle mid left
53,HCI-016,Vehicle,12.0,479.859,6f middle mid left
53,HCI-016,Vehicle,15.0,514.5525,6f middle mid left
53,HCI-016,Vehicle,19.0,550.0,6f middle mid left
53,HCI-016,Vehicle,22.0,853.0125,6f middle mid left
54,HCI-016,Vehicle,1.0,295.856,6f middle mid left
54,HCI-016,Vehicle,5.0,336.518,6f middle mid left
54,HCI-016,Vehicle,8.0,432.964,6f middle mid left
54,HCI-016,Vehicle,12.0,523.418,6f middle mid left
54,HCI-016,Vehicle,15.0,578.1905,6f middle mid left
54,HCI-016,Vehicle,19.0,659.3955,6f middle mid left
54,HCI-016,Vehicle,22.0,915.008,6f middle mid left
55,HCI-016,Vehicle,1.0,352.352,6f middle mid left
55,HCI-016,Vehicle,5.0,464.7875,6f middle mid left
55,HCI-016,Vehicle,8.0,523.418,6f middle mid left
55,HCI-016,Vehicle,12.0,546.3635,6f middle mid left
55,HCI-016,Vehicle,15.0,584.325,6f middle mid left
55,HCI-016,Vehicle,19.0,696.1365,6f middle mid left
55,HCI-016,Vehicle,22.0,1117.1875,6f middle mid left
56,HCI-016,Vehicle,1.0,67.5,6f middle mid left
56,HCI-016,Vehicle,5.0,87.725,6f middle mid left
56,HCI-016,Vehicle,8.0,111.6,6f middle mid left
56,HCI-016,Vehicle,12.0,115.351,6f middle mid left
56,HCI-016,Vehicle,15.0,152.46,6f middle mid left
56,HCI-016,Vehicle,19.0,178.5375,6f middle mid left
56,HCI-016,Vehicle,22.0,173.95,6f middle mid left
57,HCI-002,Docetaxel,1.0,222.95,6f middle mid
57,HCI-002,Docetaxel,3.0,273.885,6f middle mid
57,HCI-002,Docetaxel,7.0,321.671104,6f middle mid
57,HCI-002,Docetaxel,10.0,143.1388795,6f middle mid
57,HCI-002,Docetaxel,14.0,118.7183385,6f middle mid
57,HCI-002,Docetaxel,17.0,87.005184,6f middle mid
57,HCI-002,Docetaxel,21.0,68.873684,6f middle mid
58,HCI-002,Docetaxel,1.0,249.444,6f middle mid
58,HCI-002,Docetaxel,3.0,215.638093,6f middle mid
58,HCI-002,Docetaxel,7.0,170.3535,6f middle mid
58,HCI-002,Docetaxel,10.0,89.0639955,6f middle mid
58,HCI-002,Docetaxel,14.0,70.540332,6f middle mid
58,HCI-002,Docetaxel,17.0,79.9710535,6f middle mid
58,HCI-002,Docetaxel,21.0,18.0,6f middle mid
59,HCI-002,Docetaxel,1.0,249.018,6f middle mid
59,HCI-002,Docetaxel,3.0,309.689604,6f middle mid
59,HCI-002,Docetaxel,7.0,206.5259195,6f middle mid
59,HCI-002,Docetaxel,10.0,179.627058,6f middle mid
59,HCI-002,Docetaxel,14.0,100.5836,6f middle mid
59,HCI-002,Docetaxel,17.0,118.045529,6f middle mid
59,HCI-002,Docetaxel,21.0,76.5524115,6f middle mid
60,HCI-002,Vehicle,1.0,343.914,6f middle mid
60,HCI-002,Vehicle,3.0,467.886794,6f middle mid
60,HCI-002,Vehicle,7.0,620.6265,6f middle mid
60,HCI-002,Vehicle,10.0,948.2545485,6f middle mid
60,HCI-002,Vehicle,14.0,1219.519466,6f middle mid
61,HCI-002,Vehicle,1.0,190.44,6f middle mid
61,HCI-002,Vehicle,3.0,310.3126,6f middle mid
61,HCI-002,Vehicle,7.0,569.805312,6f middle mid
61,HCI-002,Vehicle,10.0,687.8711475,6f middle mid
61,HCI-002,Vehicle,14.0,887.3782705,6f middle mid
62,HCI-002,Vehicle,1.0,244.6875,6f middle mid
62,HCI-002,Vehicle,3.0,330.512905,6f middle mid
62,HCI-002,Vehicle,7.0,566.636,6f middle mid
62,HCI-002,Vehicle,10.0,623.71575,6f middle mid
62,HCI-002,Vehicle,14.0,1001.309452,6f middle mid
63,HCI-027,Docetaxel,1.0,168.776,6f middle mid right
63,HCI-027,Docetaxel,4.0,146.273636,6f middle mid right
63,HCI-027,Docetaxel,8.0,117.962502,6f middle mid right
63,HCI-027,Docetaxel,11.0,4.0,6f middle mid right
63,HCI-027,Docetaxel,15.0,13.5,6f middle mid right
63,HCI-027,Docetaxel,18.0,0.5,6f middle mid right
63,HCI-027,Docetaxel,22.0,0.5,6f middle mid right
64,HCI-027,Docetaxel,1.0,210.9375,6f middle mid right
64,HCI-027,Docetaxel,4.0,263.636856,6f middle mid right
64,HCI-027,Docetaxel,8.0,345.65389,6f middle mid right
64,HCI-027,Docetaxel,11.0,318.5242525,6f middle mid right
64,HCI-027,Docetaxel,15.0,164.013696,6f middle mid right
64,HCI-027,Docetaxel,18.0,88.8375145,6f middle mid right
64,HCI-027,Docetaxel,22.0,4.0,6f middle mid right
65,HCI-027,Docetaxel,1.0,139.264,6f middle mid right
65,HCI-027,Docetaxel,4.0,132.325596,6f middle mid right
65,HCI-027,Docetaxel,8.0,81.5736515,6f middle mid right
65,HCI-027,Docetaxel,11.0,0.5,6f middle mid right
65,HCI-027,Docetaxel,15.0,4.0,6f middle mid right
65,HCI-027,Docetaxel,18.0,0.5,6f middle mid right
65,HCI-027,Docetaxel,22.0,0.0,6f middle mid right
66,HCI-027,Vehicle,1.0,128.9925,6f middle mid right
66,HCI-027,Vehicle,4.0,165.129326,6f middle mid right
66,HCI-027,Vehicle,8.0,289.154556,6f middle mid right
66,HCI-027,Vehicle,11.0,294.88725,6f middle mid right
66,HCI-027,Vehicle,15.0,484.25788,6f middle mid right
66,HCI-027,Vehicle,18.0,717.56388,6f middle mid right
66,HCI-027,Vehicle,22.0,864.799515,6f middle mid right
67,HCI-027,Vehicle,1.0,169.0155,6f middle mid right
67,HCI-027,Vehicle,4.0,119.47724,6f middle mid right
67,HCI-027,Vehicle,8.0,180.075,6f middle mid right
67,HCI-027,Vehicle,11.0,267.3727695,6f middle mid right
67,HCI-027,Vehicle,15.0,329.991471,6f middle mid right
67,HCI-027,Vehicle,18.0,447.675138,6f middle mid right
67,HCI-027,Vehicle,22.0,561.152304,6f middle mid right
68,HCI-027,Vehicle,1.0,164.775,6f middle mid right
68,HCI-027,Vehicle,4.0,118.52805,6f middle mid right
68,HCI-027,Vehicle,8.0,280.0755415,6f middle mid right
68,HCI-027,Vehicle,11.0,393.1431455,6f middle mid right
