MID,Sample,Drug,Volume,V_V0,log(V_V0)
88,HCI-024,Vehicle,152.7694055,1.0997329698016773,0.13715326019515922
89,HCI-024,Vehicle,405.948103,1.6467180202783147,0.7195935328573904
90,HCI-001,Docetaxel,356.445,2.451343805017606,1.2935728387577883
91,HCI-001,Docetaxel,111.328,0.7656250000000001,-0.3852901558847916
92,HCI-001,Docetaxel,166.464,1.0794455702358758,0.11029049900606495
93,HCI-001,Vehicle,806.725,5.081412194507433,2.3452294975644414
94,HCI-001,Vehicle,792.756,8.49794185747363,3.087113472832016
95,HCI-001,Vehicle,586.5575,4.680627373998532,2.22670191628197
96,HCI-001,Vehicle,668.542,7.803278688524591,2.9640804257450575
97,HCI-001,Vehicle,560.0,4.713804713804714,2.236891991031563
98,HCI-001,Vehicle,770.0625,4.626000216262976,2.2097653334193077
99,HCI-027,Birinapant,1.0,0.010663822980538522,-6.551131452774108
100,HCI-027,Birinapant,1.0,0.012536355430749173,-6.317738200981938
101,HCI-027,Birinapant,1.0,0.012067748339176135,-6.372699673826153
102,HCI-027,Birinapant,1.0,0.014787212019045927,-6.079506117421997
103,HCI-027,Birinapant,1.0,0.008004482510205715,-6.964976149140118
104,HCI-015,Birinapant,4.0,0.045231472058258136,-4.466529240531243
105,HCI-015,Birinapant,37.6,0.43709748668945153,-1.1939730122364163
106,HCI-015,Birinapant,50.625,0.4076086956521739,-1.2947432655611322
107,HCI-015,Birinapant,4.0,0.04572473708276177,-4.450881315273369
108,HCI-015,Birinapant,1.0,0.009589198726554409,-6.7043740159799325
109,HCI-001,Birinapant,625.931,8.735221056157195,3.1268442128828946
110,HCI-001,Birinapant,1006.1415,10.322576177285319,3.3677311600651714
111,HCI-001,Birinapant,752.812,7.776983471074381,2.9592106725348515
112,HCI-001,Birinapant,616.512,6.779028852920478,2.7610786112041454
113,HCI-001,Birinapant,594.88,5.7979376620338785,2.5355398219888134
114,HCI-002,Birinapant,3079.0,21.381944444444443,4.418321150602504
115,HCI-002,Birinapant,2776.0,17.681528662420384,4.144171103686634
116,HCI-002,Birinapant,2391.0,13.901162790697674,3.79713366000953
117,HCI-002,Birinapant,1682.0,10.851612903225806,3.4398375849809066
118,HCI-002,Birinapant,2833.0,16.09659090909091,4.0086832677408015
119,HCI-019,Birinapant,959.616,9.714285714285714,3.2801079191927354
120,HCI-019,Birinapant,503.3815,6.393607427729513,2.676630164284997
121,HCI-019,Birinapant,982.288,11.352255917159763,3.504907112852977
122,HCI-019,Birinapant,503.3815,5.342561637002367,2.417531647318347
123,HCI-019,Birinapant,318.2085,3.6273411228270165,1.8589124257794858
124,HCI-012,Birinapant,246.402,2.9239587041651833,1.5479229358742046
125,HCI-012,Birinapant,115.351,1.1834513183543653,0.24300036157464575
126,HCI-012,Birinapant,81.461,0.807183908045977,-0.3090306816096924
127,HCI-012,Birinapant,128.9925,1.2369347167350697,0.3067693593862681
128,HCI-012,Birinapant,106.1705,1.2534887839433293,0.3259490871796454
129,HCI-023,Birinapant,1.0,0.007874015748031496,-6.9886846867721655
130,HCI-023,Birinapant,6.0,0.04813342585647415,-4.3768170802003015
131,HCI-023,Birinapant,1.0,0.007226268932824605,-7.112533337553976
132,HCI-023,Birinapant,1.0,0.005847953216374269,-7.417852514885898
133,HCI-023,Birinapant,23.12,0.18203577727387252,-2.457706069611792
134,HCI-027,Vehicle,819.95,11.46342315892489,3.518966014807975
135,HCI-027,Vehicle,343.1875,4.442700411016538,2.1514368579552934
136,HCI-027,Vehicle,807.651,8.584725765306121,3.101772048804923
137,HCI-027,Vehicle,261.5625,3.467664956449111,1.7939645130292299
138,HCI-027,Vehicle,624.24,8.421052631578947,3.074000581443777
139,HCI-015,Vehicle,188.65,2.544905130955031,1.3476118764771015
140,HCI-015,Vehicle,144.5805,2.6671432260920898,1.4152952999636825
141,HCI-015,Vehicle,280.845,2.187700828435554,1.129415460779939
142,HCI-015,Vehicle,277.7245,3.9674928571428567,1.98822762571355
143,HCI-015,Vehicle,691.014,8.812155682513772,3.1394949830558816
144,HCI-001,Vehicle,1804.032,19.87914049586777,4.313183476075515
145,HCI-001,Vehicle,831.744,8.982456140350877,3.1671099858352583
146,HCI-001,Vehicle,734.2175,7.920617711468547,2.9856129472898987
147,HCI-001,Vehicle,915.008,10.613402928809627,3.4078153902914226
148,HCI-001,Vehicle,1156.25,11.479959094113326,3.5210455962367653
149,HCI-002,Vehicle,1654.0,13.447154471544716,3.7492290138320348
150,HCI-002,Vehicle,1352.0,8.095808383233534,3.017175143808132
151,HCI-002,Vehicle,779.0,4.664670658682635,2.221775225587617
152,HCI-002,Vehicle,760.0,5.135135135135135,2.360402242701998
153,HCI-002,Vehicle,1730.0,11.161290322580646,3.4804319172498497
154,HCI-019,Vehicle,238.206,2.513516935739158,1.3297074097512362
155,HCI-019,Vehicle,317.52,4.349112426035503,2.1207210034415422
156,HCI-019,Vehicle,326.114,2.8389090560880272,1.5053366333411589
157,HCI-019,Vehicle,210.826,2.240922619047619,1.164092832229074
158,HCI-019,Vehicle,530.452,5.774947198815512,2.5298077558178282
