Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
4,Vehicle,,M0,HCI-027,165.129326,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Vehicle,,M0,HCI-027,289.154556,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Vehicle,,M0,HCI-027,294.88725,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Vehicle,,M0,HCI-027,484.25788,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Vehicle,,M0,HCI-027,717.56388,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Vehicle,,M0,HCI-027,864.799515,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Vehicle,,M1,HCI-027,169.0155,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Vehicle,,M1,HCI-027,119.47724,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Vehicle,,M1,HCI-027,180.075,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Vehicle,,M1,HCI-027,267.3727695,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Vehicle,,M1,HCI-027,329.991471,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Vehicle,,M1,HCI-027,447.675138,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Vehicle,,M1,HCI-027,561.152304,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Vehicle,,M2,HCI-027,164.775,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Vehicle,,M2,HCI-027,118.52805,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Vehicle,,M2,HCI-027,280.0755415,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Vehicle,,M2,HCI-027,393.1431455,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Vehicle,,M2,HCI-027,480.730336,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Vehicle,,M2,HCI-027,609.294582,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Vehicle,,M2,HCI-027,814.4955,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Vehicle,,M3,HCI-027,222.376,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
