MID,Sample,Drug,start_vol,end_vol,duration,V_V0,log(V_V0+1)
64,HCI-027,Docetaxel,210.9375,4.0,21.0,0.018962962962962963,0.027101613701235417
65,HCI-027,Docetaxel,139.264,0.0,21.0,0.0,0.0
66,HCI-027,Vehicle,128.9925,864.799515,21.0,6.704261991976278,2.945656764460985
67,HCI-027,Vehicle,169.0155,561.152304,21.0,3.3201233259671445,2.1110724973937516
68,HCI-027,Vehicle,164.775,814.4955,21.0,4.943076923076923,2.5712100543161145
69,HCI-027,Vehicle,222.376,808.3512,21.0,3.6350649350649347,2.2125895504667588
70,HCI-027,Vehicle,106.1705,336.093552,21.0,3.165602045766008,2.0585250203619614
71,HCI-027,Vehicle,256.0,938.1346875,21.0,3.664588623046875,2.221749853282846
72,HCI-010,Docetaxel,147.605248,91.617575,21.0,0.6206932086859135,0.6966110197902743
73,HCI-010,Docetaxel,151.668224,88.266655,21.0,0.5819719692900208,0.6617240371529612
74,HCI-010,Docetaxel,155.795742,177.1919145,21.0,1.137334770676852,1.095812894974519
75,HCI-010,Vehicle,159.2693275,261.789003,21.0,1.6436875016000805,1.4025516524368766
76,HCI-010,Vehicle,222.6064,475.215494,21.0,2.1347791168627674,1.6483637912782196
77,HCI-010,Vehicle,176.731632,353.835756,21.0,2.0021076702330234,1.5859757199718125
78,HCI-010,Vehicle,153.277944,295.61175,21.0,1.9285993945743427,1.5502108593188964
79,HCI-010,Vehicle,98.907408,135.359991,21.0,1.3685526062921394,1.2440057149819865
80,HCI-010,Vehicle,233.615313,517.0,21.0,2.21303986181762,1.6839388793744876
81,HCI-024,Docetaxel,194.4,107.353512,21.0,0.55223,0.6343423431401605
82,HCI-024,Docetaxel,133.2,13.5,21.0,0.10135135135135136,0.13927478860212772
83,HCI-024,Docetaxel,249.64,63.3142645,21.0,0.25362227407466753,0.3261027186273271
84,HCI-024,Vehicle,243.089,337.949498,21.0,1.3902294961927524,1.2571491441992653
85,HCI-024,Vehicle,149.504,226.7277125,21.0,1.5165327516320635,1.3314373740357623
86,HCI-024,Vehicle,173.95,231.5178315,21.0,1.3309447053751078,1.2209147812890433
87,HCI-024,Vehicle,292.7825,291.6478125,21.0,0.9961244695294287,0.9972016835880423
88,HCI-024,Vehicle,138.915,152.7694055,21.0,1.0997329698016773,1.070205867111307
89,HCI-024,Vehicle,246.5195,405.948103,21.0,1.6467180202783147,1.4042044991718
90,HCI-001,Docetaxel,145.408,356.445,21.0,2.451343805017606,1.7871581947494781
91,HCI-001,Docetaxel,145.408,111.328,21.0,0.7656250000000001,0.8201789624151877
92,HCI-001,Docetaxel,154.2125,166.464,21.0,1.0794455702358758,1.056198922744078
93,HCI-001,Vehicle,158.76,806.725,21.0,5.081412194507433,2.6044063778532296
94,HCI-001,Vehicle,93.288,792.756,21.0,8.49794185747363,3.2476149246326367
95,HCI-001,Vehicle,125.316,586.5575,21.0,4.680627373998532,2.50605027116905
96,HCI-001,Vehicle,85.6745,668.542,21.0,7.803278688524591,3.1380409404225262
97,HCI-001,Vehicle,118.8,560.0,21.0,4.713804713804714,2.5144517287418977
98,HCI-001,Vehicle,166.464,770.0625,21.0,4.626000216262976,2.49210960810969
99,HCI-027,Birinapant,93.775,0.0,31.0,0.0,0.0
100,HCI-027,Birinapant,79.768,0.0,31.0,0.0,0.0
101,HCI-027,Birinapant,82.8655,0.0,31.0,0.0,0.0
102,HCI-027,Birinapant,67.626,0.0,31.0,0.0,0.0
103,HCI-027,Birinapant,124.93,0.0,31.0,0.0,0.0
104,HCI-015,Birinapant,88.434,4.0,32.0,0.045231472058258136,0.06382247016360584
105,HCI-015,Birinapant,86.022,41.454,32.0,0.4818999790751203,0.5674480761444503
106,HCI-015,Birinapant,124.2,50.274,32.0,0.4047826086956522,0.49034688943362603
107,HCI-015,Birinapant,87.48,109.6515,32.0,1.253446502057613,1.1721332001609566
