source,target,pair,percent-heldout,percent-used,seed,transfer,target_only_mean,percent-to-match-TL,efficiency-gain
GDSC,CTD2,GDSC_CTD2,30,70,7,0.7964900309139356,0.7918217831548419,73.70202543034961,1.052886077576423
GDSC,CTD2,GDSC_CTD2,30,70,8,0.7930747845178955,0.7918217831548419,70.99365825244627,1.0141951178920896
GDSC,CTD2,GDSC_CTD2,30,70,9,0.7974445228229711,0.7918217831548419,74.4589589742964,1.0636994139185199
GDSC,CTD2,GDSC_CTD2,50,50,0,0.7859705684173922,0.7641921139082759,65.67459032785194,1.313491806557039
GDSC,CTD2,GDSC_CTD2,50,50,1,0.7788895683241032,0.7641921139082759,60.4400830218795,1.20880166043759
GDSC,CTD2,GDSC_CTD2,50,50,2,0.7785405702510076,0.7641921139082759,60.182092209943185,1.2036418441988637
GDSC,CTD2,GDSC_CTD2,50,50,3,0.7692363668722978,0.7641921139082759,53.57694392374745,1.071538878474949
GDSC,CTD2,GDSC_CTD2,50,50,4,0.7742000043078534,0.7641921139082759,57.096722351084665,1.1419344470216932
GDSC,CTD2,GDSC_CTD2,50,50,5,0.7843256399259038,0.7641921139082759,64.45860528434672,1.2891721056869343
GDSC,CTD2,GDSC_CTD2,50,50,6,0.7837660983961483,0.7641921139082759,64.04497384995713,1.2808994769991426
GDSC,CTD2,GDSC_CTD2,50,50,7,0.7794636063676846,0.7641921139082759,60.86443075432497,1.2172886150864994
GDSC,CTD2,GDSC_CTD2,50,50,8,0.7765991630453283,0.7641921139082759,58.79799632154669,1.1759599264309337
GDSC,CTD2,GDSC_CTD2,50,50,9,0.7746117944248117,0.7641921139082759,57.38872795968892,1.1477745591937785
GDSC,CTD2,GDSC_CTD2,70,30,0,0.7529183937502277,0.718951452864101,43.51970189739411,1.450656729913137
GDSC,CTD2,GDSC_CTD2,70,30,1,0.7531950031962933,0.718951452864101,43.67870102486685,1.455956700828895
GDSC,CTD2,GDSC_CTD2,70,30,2,0.7437004000819671,0.718951452864101,38.88851235920283,1.2962837453067608
GDSC,CTD2,GDSC_CTD2,70,30,3,0.7406457134896519,0.718951452864101,37.79143056051991,1.2597143520173304
GDSC,CTD2,GDSC_CTD2,70,30,4,0.7405011617226316,0.718951452864101,37.73951521412582,1.2579838404708605
GDSC,CTD2,GDSC_CTD2,70,30,5,0.7371063055024273,0.718951452864101,36.52026248368162,1.2173420827893873
GDSC,CTD2,GDSC_CTD2,70,30,6,0.7470095390355385,0.718951452864101,40.12320637866871,1.3374402126222904
GDSC,CTD2,GDSC_CTD2,70,30,7,0.7467442403790588,0.718951452864101,39.98169874252535,1.3327232914175118
GDSC,CTD2,GDSC_CTD2,70,30,8,0.7542662126555106,0.718951452864101,44.29444778181504,1.476481592727168
GDSC,CTD2,GDSC_CTD2,70,30,9,0.7415653942977544,0.718951452864101,38.121731245934086,1.2707243748644694
GDSC,REP,GDSC_REP,20,80,0,0.8757050077451298,0.8690476487464679,90.0,1.125
GDSC,REP,GDSC_REP,20,80,1,0.8851595397080767,0.8690476487464679,90.0,1.125
GDSC,REP,GDSC_REP,20,80,2,0.8792306696439968,0.8690476487464679,90.0,1.125
GDSC,REP,GDSC_REP,20,80,3,0.8710354855869148,0.8690476487464679,83.08899391673452,1.0386124239591816
GDSC,REP,GDSC_REP,20,80,4,0.8675323475429021,0.8690476487464679,77.20754377082008,0.965094297135251
GDSC,REP,GDSC_REP,20,80,5,0.8860313658897919,0.8690476487464679,90.0,1.125
GDSC,REP,GDSC_REP,20,80,6,0.8792803922974743,0.8690476487464679,90.0,1.125
GDSC,REP,GDSC_REP,20,80,7,0.8803586013175434,0.8690476487464679,90.0,1.125
GDSC,REP,GDSC_REP,20,80,8,0.8738547538753296,0.8690476487464679,87.46998858156732,1.0933748572695916
GDSC,REP,GDSC_REP,20,80,9,0.8746399974398826,0.8690476487464679,88.6902157876965,1.1086276973462064
GDSC,REP,GDSC_REP,40,60,0,0.8673355813113033,0.859055392412358,76.84493527567247,1.2807489212612078
GDSC,REP,GDSC_REP,40,60,1,0.8695565637499553,0.859055392412358,80.79082715337644,1.3465137858896072
GDSC,REP,GDSC_REP,40,60,2,0.8684651879763609,0.859055392412358,78.9266185482392,1.3154436424706535
GDSC,REP,GDSC_REP,40,60,3,0.8587867407841056,0.859055392412358,59.51782069555765,0.9919636782592942
GDSC,REP,GDSC_REP,40,60,4,0.8615612399701141,0.859055392412358,65.48824314593034,1.091470719098839
GDSC,REP,GDSC_REP,40,60,5,0.868281103242082,0.859055392412358,78.58738001155464,1.3097896668592441
GDSC,REP,GDSC_REP,40,60,6,0.8650919189802602,0.859055392412358,72.71022671888247,1.2118371119813744
GDSC,REP,GDSC_REP,40,60,7,0.8645975277642654,0.859055392412358,71.79914328048234,1.196652388008039
GDSC,REP,GDSC_REP,40,60,8,0.8682152721492987,0.859055392412358,78.4660639031244,1.30776773171874
GDSC,REP,GDSC_REP,40,60,9,0.8748968319943833,0.859055392412358,89.08932317936822,1.4848220529894705
GDSC,REP,GDSC_REP,60,40,0,0.8561454846458624,0.8458885383634339,54.7772611244999,1.3694315281124976
GDSC,REP,GDSC_REP,60,40,1,0.8526236203160874,0.8458885383634339,48.86750209023455,1.221687552255864
GDSC,REP,GDSC_REP,60,40,2,0.8616086199141021,0.8458885383634339,65.59201348584652,1.6398003371461631
GDSC,REP,GDSC_REP,60,40,3,0.8529953616335175,0.8458885383634339,49.35694185243958,1.2339235463109897
GDSC,REP,GDSC_REP,60,40,4,0.8485813798942118,0.8458885383634339,43.54543241948755,1.0886358104871887
GDSC,REP,GDSC_REP,60,40,5,0.8575335638341102,0.8458885383634339,57.26860302275707,1.4317150755689267
GDSC,REP,GDSC_REP,60,40,6,0.8586843016040525,0.8458885383634339,59.33396157321795,1.4833490393304487
GDSC,REP,GDSC_REP,60,40,7,0.8575010452811386,0.8458885383634339,57.21023831692851,1.4302559579232128
GDSC,REP,GDSC_REP,60,40,8,0.8576287210587135,0.8458885383634339,57.439392400325154,1.435984810008129
GDSC,REP,GDSC_REP,60,40,9,0.8587684513327768,0.8458885383634339,59.4849945594285,1.4871248639857124
GDSC,REP,GDSC_REP,80,20,0,0.8299478059435186,0.7966078913529282,30.619132435807128,1.5309566217903563
GDSC,REP,GDSC_REP,80,20,1,0.8297062485239871,0.7966078913529282,30.47697973528617,1.5238489867643086
GDSC,REP,GDSC_REP,80,20,2,0.8356311251315247,0.7966078913529282,33.96367541057747,1.6981837705288736
GDSC,REP,GDSC_REP,80,20,3,0.8299848571596455,0.7966078913529282,30.64093648736658,1.532046824368329
GDSC,REP,GDSC_REP,80,20,4,0.8342170286198904,0.7966078913529282,33.13150209826121,1.6565751049130604
GDSC,REP,GDSC_REP,80,20,5,0.8278188430938659,0.7966078913529282,29.666474161324913,1.4833237080662456
GDSC,REP,GDSC_REP,80,20,6,0.8288378744489604,0.7966078913529282,29.982082616503185,1.4991041308251591
GDSC,REP,GDSC_REP,80,20,7,0.8332444816150085,0.7966078913529282,32.559173649829845,1.6279586824914922
GDSC,REP,GDSC_REP,80,20,8,0.8337232007505112,0.7966078913529282,32.84089224922023,1.6420446124610115
GDSC,REP,GDSC_REP,80,20,9,0.8386908074246057,0.7966078913529282,35.76424978970947,1.7882124894854734
GDSC,REP,GDSC_REP,10,90,0,0.8831219353347467,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,1,0.8769727974443993,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,2,0.8837912456151231,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,3,0.8862184648567334,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,4,0.8758153264374262,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,5,0.8963164172743137,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,6,0.8756297265562046,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,7,0.8834524441693186,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,8,0.8834785482046311,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,10,90,9,0.8825895527976673,0.8754828729457707,90.0,1.0
GDSC,REP,GDSC_REP,85,15,0,0.8217927675527632,0.7611461470905807,27.80011314818552,1.8533408765457013
GDSC,REP,GDSC_REP,85,15,1,0.8291335189652229,0.7611461470905807,30.139937496615055,2.009329166441004
GDSC,REP,GDSC_REP,85,15,2,0.8202729030652648,0.7611461470905807,27.329389572721833,1.8219593048481222
GDSC,REP,GDSC_REP,85,15,3,0.8134874885144958,0.7611461470905807,25.227850504855017,1.6818567003236677
GDSC,REP,GDSC_REP,85,15,4,0.8199560149087491,0.7611461470905807,27.2312448188414,1.8154163212560934
GDSC,REP,GDSC_REP,85,15,5,0.828333785294204,0.7611461470905807,29.825959059941926,1.988397270662795
GDSC,REP,GDSC_REP,85,15,6,0.8293136616110622,0.7611461470905807,30.245948579341135,2.0163965719560757
GDSC,REP,GDSC_REP,85,15,7,0.820465771938744,0.7611461470905807,27.38912379670468,1.8259415864469788
GDSC,REP,GDSC_REP,85,15,8,0.8252242360790925,0.7611461470905807,28.862887590967212,1.924192506064481
GDSC,REP,GDSC_REP,85,15,9,0.8223299268344931,0.7611461470905807,27.96647899183096,1.8644319327887307
GDSC,REP,GDSC_REP,90,10,0,0.8068379247057884,0.6820334428186211,23.16838633745375,2.316838633745375
GDSC,REP,GDSC_REP,90,10,1,0.8023290719117601,0.6820334428186211,21.77193071532272,2.177193071532272
GDSC,REP,GDSC_REP,90,10,2,0.795923638176931,0.6820334428186211,19.903522346372043,1.9903522346372042
GDSC,REP,GDSC_REP,90,10,3,0.7997012920719847,0.6820334428186211,20.958070050845723,2.0958070050845725
GDSC,REP,GDSC_REP,90,10,4,0.8084826999398824,0.6820334428186211,23.67779654171557,2.367779654171557
GDSC,REP,GDSC_REP,90,10,5,0.8077436207544462,0.6820334428186211,23.448893241729948,2.344889324172995
GDSC,REP,GDSC_REP,90,10,6,0.811180980898188,0.6820334428186211,24.513492401936475,2.4513492401936476
GDSC,REP,GDSC_REP,90,10,7,0.8137410622534929,0.6820334428186211,25.30638588616447,2.530638588616447
GDSC,REP,GDSC_REP,90,10,8,0.8063529377129354,0.6820334428186211,23.018178991202163,2.3018178991202163
GDSC,REP,GDSC_REP,90,10,9,0.8079733789080374,0.6820334428186211,23.52005259865948,2.352005259865948
GDSC,REP,GDSC_REP,95,5,0,0.7358519993392828,0.47195968715114045,13.401385214671325,2.6802770429342653
GDSC,REP,GDSC_REP,95,5,1,0.7221234719914983,0.47195968715114045,12.533728908764312,2.5067457817528624
GDSC,REP,GDSC_REP,95,5,2,0.7424269791537671,0.47195968715114045,13.816930345822577,2.7633860691645156
GDSC,REP,GDSC_REP,95,5,3,0.7452270503054379,0.47195968715114045,13.99389757108928,2.798779514217856
GDSC,REP,GDSC_REP,95,5,4,0.7351810424546505,0.47195968715114045,13.358980085760187,2.6717960171520376
GDSC,REP,GDSC_REP,95,5,5,0.7606005207155538,0.47195968715114045,14.965515881422078,2.9931031762844156
GDSC,REP,GDSC_REP,95,5,6,0.7516046178833504,0.47195968715114045,14.396966056524239,2.8793932113048477
GDSC,REP,GDSC_REP,95,5,7,0.7534926968798364,0.47195968715114045,14.516294488908215,2.903258897781643
GDSC,REP,GDSC_REP,95,5,8,0.7391453959838076,0.47195968715114045,13.609531091798932,2.7219062183597864
GDSC,REP,GDSC_REP,95,5,9,0.7632419408298423,0.47195968715114045,15.295500656109418,3.0591001312218835
GDSC,REP,GDSC_REP,30,70,0,0.8682049694861445,0.8636212388792994,78.4470777531533,1.1206725393307613
GDSC,REP,GDSC_REP,30,70,1,0.8791207200513996,0.8636212388792994,90.0,1.2857142857142858
GDSC,REP,GDSC_REP,30,70,2,0.8769654124449165,0.8636212388792994,90.0,1.2857142857142858
GDSC,REP,GDSC_REP,30,70,3,0.8660719034066011,0.8636212388792994,74.51618028731852,1.0645168612474074
GDSC,REP,GDSC_REP,30,70,4,0.8604166440956159,0.8636212388792994,62.98137857484687,0.8997339796406696
GDSC,REP,GDSC_REP,30,70,5,0.8761543003922148,0.8636212388792994,90.0,1.2857142857142858
GDSC,REP,GDSC_REP,30,70,6,0.8731069799581413,0.8636212388792994,86.30798723704649,1.2329712462435214
GDSC,REP,GDSC_REP,30,70,7,0.8711872420590063,0.8636212388792994,83.32481549402779,1.1903545070575399
GDSC,REP,GDSC_REP,30,70,8,0.8715311088889164,0.8636212388792994,83.8591664649657,1.1979880923566528
GDSC,REP,GDSC_REP,30,70,9,0.8730368357248469,0.8636212388792994,86.19898678714448,1.231414096959207
GDSC,REP,GDSC_REP,50,50,0,0.8642165955221143,0.8534837798239018,71.09714646955983,1.4219429293911967
GDSC,REP,GDSC_REP,50,50,1,0.8595833009658476,0.8534837798239018,61.156211794049305,1.2231242358809862
GDSC,REP,GDSC_REP,50,50,2,0.8687678985170613,0.8534837798239018,79.4844653532362,1.589689307064724
GDSC,REP,GDSC_REP,50,50,3,0.86158796958484,0.8534837798239018,65.5467856635541,1.3109357132710822
GDSC,REP,GDSC_REP,50,50,4,0.8610470690393104,0.8534837798239018,64.36211914126538,1.2872423828253077
GDSC,REP,GDSC_REP,50,50,5,0.865075602088767,0.8534837798239018,72.68015731407783,1.4536031462815566
GDSC,REP,GDSC_REP,50,50,6,0.8621415437083085,0.8534837798239018,66.7592095316729,1.3351841906334578
GDSC,REP,GDSC_REP,50,50,7,0.8610437131905962,0.8534837798239018,64.35476924735539,1.2870953849471078
GDSC,REP,GDSC_REP,50,50,8,0.8637647634355329,0.8534837798239018,70.2644926567413,1.405289853134826
GDSC,REP,GDSC_REP,50,50,9,0.8685671317089912,0.8534837798239018,79.11448443954828,1.5822896887909657
GDSC,REP,GDSC_REP,70,30,0,0.8466103815634635,0.8288957258001677,40.950388745093406,1.3650129581697803
GDSC,REP,GDSC_REP,70,30,1,0.840003602328045,0.8288957258001677,36.53680871634489,1.217893623878163
GDSC,REP,GDSC_REP,70,30,2,0.8436869052815692,0.8288957258001677,38.70437393829434,1.2901457979431445
GDSC,REP,GDSC_REP,70,30,3,0.8436155811785501,0.8288957258001677,38.662400837753395,1.2887466945917798
GDSC,REP,GDSC_REP,70,30,4,0.8453255117707393,0.8288957258001677,39.66866780257926,1.3222889267526419
