Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
8.0,Navitoclax,,M1,HCI-002,376.1999425,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Navitoclax,,M1,HCI-002,498.9726,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Navitoclax,,M1,HCI-002,662.2694245,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Navitoclax,,M1,HCI-002,712.331704,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Navitoclax,,M1,HCI-002,687.587868,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Navitoclax,,M2,HCI-002,107.595104,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Navitoclax,,M2,HCI-002,145.8167625,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Navitoclax,,M2,HCI-002,144.7936,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Navitoclax,,M2,HCI-002,203.8612125,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Navitoclax,,M2,HCI-002,223.743762,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Navitoclax,,M2,HCI-002,204.249254,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Navitoclax,,M2,HCI-002,214.043264,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Vehicle,,M0,HCI-002,127.977608,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Vehicle,,M0,HCI-002,94.36752,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Vehicle,,M0,HCI-002,132.2894275,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Vehicle,,M0,HCI-002,178.4521665,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Vehicle,,M0,HCI-002,243.9844,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Vehicle,,M0,HCI-002,279.79374,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Vehicle,,M0,HCI-002,482.2335,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Vehicle,,M1,HCI-002,242.0734865,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Vehicle,,M1,HCI-002,309.3052845,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Vehicle,,M1,HCI-002,414.8497305,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Vehicle,,M1,HCI-002,594.560088,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Vehicle,,M1,HCI-002,792.4225,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Vehicle,,M1,HCI-002,923.000832,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Vehicle,,M1,HCI-002,1195.42212,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Vehicle,,M2,HCI-002,180.50552,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Vehicle,,M2,HCI-002,287.934109,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Vehicle,,M2,HCI-002,369.333032,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Vehicle,,M2,HCI-002,537.23241,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Vehicle,,M2,HCI-002,613.941774,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Vehicle,,M2,HCI-002,772.506436,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Vehicle,,M2,HCI-002,967.903125,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Vehicle,,M3,HCI-002,150.504858,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Vehicle,,M3,HCI-002,163.8443625,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Vehicle,,M3,HCI-002,335.34375,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Vehicle,,M3,HCI-002,440.9164,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Vehicle,,M3,HCI-002,526.764738,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Vehicle,,M3,HCI-002,670.298813,43018_2022_337_MOESM7_ESM.xlsx,6d right
