MID,Sample,Drug,log(V_V0+1),log(V_V0+1)_cen
124,HCI-012,Birinapant,2.95020461492366,1.0669758373050051
125,HCI-012,Birinapant,2.4298477544641646,0.5466189768455099
126,HCI-012,Birinapant,1.4786717620687406,-0.4045570155499141
127,HCI-012,Birinapant,1.2500084365968518,-0.6332203410218029
128,HCI-012,Birinapant,1.3074113200398558,-0.5758174575787989
129,HCI-023,Birinapant,0.19122440324276857,0.03725246958248438
130,HCI-023,Birinapant,0.2993986034816789,0.1454266698213947
131,HCI-023,Birinapant,0.005203256793922613,-0.14876867686636158
132,HCI-023,Birinapant,0.0,-0.1539719336602842
133,HCI-023,Birinapant,0.2740334047830508,0.12006147112276663
159,HCI-012,Vehicle,3.3440770026667983,-0.4301740633322937
160,HCI-012,Vehicle,3.4028583381171953,-0.3713927278818967
161,HCI-012,Vehicle,3.6310059516693323,-0.14324511432975973
162,HCI-012,Vehicle,4.1719114735994225,0.3976604076003305
163,HCI-012,Vehicle,4.321402563942711,0.5471514979436192
164,HCI-023,Vehicle,1.8796562129077283,-0.27762136951184346
165,HCI-023,Vehicle,2.020186220915781,-0.13709136150379075
166,HCI-023,Vehicle,1.6340262112432586,-0.5232513711763132
167,HCI-023,Vehicle,2.6221511632923606,0.46487358087278885
168,HCI-023,Vehicle,2.6303681037387303,0.4730905213191585
169,HCI-015,RO4929097,1.2182528911690906,0.015220023973157915
170,HCI-015,RO4929097,0.9100578746872044,-0.29297499250872827
171,HCI-015,RO4929097,1.3707649424182675,0.1677320752223348
172,HCI-015,RO4929097,1.2947975553357185,0.09176468813978578
173,HCI-015,RO4929097,1.2212910723693824,0.01825820517344967
178,HCI-027,RO4929097,1.0315830268210708,-0.7609282395819992
179,HCI-027,RO4929097,1.7661963054899594,-0.026314960913110585
180,HCI-027,RO4929097,1.6860486258354677,-0.10646264056760235
181,HCI-027,RO4929097,2.5858143210296474,0.7933030546265774
182,HCI-027,RO4929097,1.8929140528392037,0.10040278643613365
188,HCI-010,RO4929097,1.4404166149088045,-0.047233350715295774
189,HCI-010,RO4929097,1.2824200855022965,-0.20522988012180376
190,HCI-010,RO4929097,1.7401131964611996,0.2524632308370993
191,HCI-002,RO4929097,3.099328512453143,0.07429038448436653
192,HCI-002,RO4929097,2.698806786398127,-0.3262313415706495
193,HCI-002,RO4929097,3.1793153825263962,0.15427725455761987
194,HCI-002,RO4929097,3.122701830497439,0.09766370252866263
201,HCI-002,Irinotecan,1.929492024545651,-0.011590074799485706
202,HCI-002,Irinotecan,0.9522673892158982,-0.9888147101292386
203,HCI-002,Irinotecan,1.4744859643595867,-0.4665961349855501
204,HCI-002,Irinotecan,3.7138290953682715,1.7727469960231348
205,HCI-002,Irinotecan,1.6353360232362755,-0.3057460761088613
206,HCI-002,Birinapant + Irinotecan,0.9045428407520958,-0.563987101468688
207,HCI-002,Birinapant + Irinotecan,1.8598931160713492,0.3913631738505654
208,HCI-002,Birinapant + Irinotecan,1.4547952085165785,-0.013734733704205304
209,HCI-002,Birinapant + Irinotecan,1.4661418402268498,-0.002388101993934022
210,HCI-002,Birinapant + Irinotecan,1.6572767055370463,0.1887467633162625
211,HCI-012,Irinotecan,1.847207597029819,-0.06894054836990282
212,HCI-012,Irinotecan,1.8487759374041268,-0.06737220799559496
213,HCI-012,Irinotecan,2.0093607897911316,0.09321264439140986
214,HCI-012,Irinotecan,2.0942308854356804,0.1780827400359586
215,HCI-012,Irinotecan,1.7811655173378522,-0.13498262806186956
216,HCI-012,Birinapant + Irinotecan,0.006449250976239281,-0.2039925055039599
217,HCI-012,Birinapant + Irinotecan,0.0070311369456857375,-0.20341061953451342
218,HCI-012,Birinapant + Irinotecan,0.007533200628914689,-0.20290855585128448
219,HCI-012,Birinapant + Irinotecan,1.023268278078527,0.8128265215983278
220,HCI-012,Birinapant + Irinotecan,0.007926915771628964,-0.2025148407085702
221,HCI-023,Irinotecan,0.06460908142307654,-0.06913088918558187
222,HCI-023,Irinotecan,0.0,-0.13373997060865842
223,HCI-023,Irinotecan,0.21062947949800082,0.0768895088893424
224,HCI-023,Irinotecan,0.0,-0.13373997060865842
225,HCI-023,Irinotecan,0.3934612921222147,0.2597213215135563
226,HCI-023,Birinapant + Irinotecan,0.0,0.0
227,HCI-023,Birinapant + Irinotecan,0.0,0.0
228,HCI-023,Birinapant + Irinotecan,0.0,0.0
229,HCI-023,Birinapant + Irinotecan,0.0,0.0
230,HCI-023,Birinapant + Irinotecan,0.0,0.0
231,HCI-003,Fulvestrant (40 mg/kg),2.6987904609803244,0.6385605376245613
232,HCI-003,Fulvestrant (40 mg/kg),1.4216693857312022,-0.6385605376245609
